Timestamp (UTC)	Qinhuangdao co	Qinhuangdao no2	Qinhuangdao o3	Qinhuangdao pm10	Qinhuangdao pm25	Qinhuangdao so2
2017-03-31 01:00	959.8	53.2	70	70.8	45.8	37
2017-03-31 02:00	978.2	37.6	88.8	61	33.8	22.4
2017-03-31 03:00	642.6	21	107.2	41.6	30.4	13.2
2017-03-31 04:00	585.75	17	116.2	34.6	24.6	11.8
2017-03-31 05:00	571.4	23.4	113.8	40.4	26.2	12
2017-03-31 06:00	606.6	23.8	120	45.4	28.6	12.6
2017-03-31 07:00	577.4	22.6	126.8	49.4	30.4	12.2
2017-03-31 08:00	588.8	21	132.6	53.6	27.8	11
2017-03-31 09:00	534.2	19.6	129	48.4	26.4	10.8
2017-03-31 10:00	607.6	22.4	123.8	49.8	28.8	11.4
2017-03-31 11:00	722.2	31.8	120.8	61.2	36.2	14.6
2017-03-31 12:00	1029.4	49.8	93	78.2	41.6	17.4
2017-03-31 13:00	1294.8	60.8	75	101.8	50.4	21.2
2017-03-31 14:00	1429.2	64.6	61.6	115.4	69.2	21.4
2017-03-31 15:00	1551.6	81.8	38.6	128	78	24.8
2017-03-31 16:00	1742.8	96	22.6	137.8	76	31.6
2017-03-31 17:00	1802.8	105.2	11.2	146.8	70.2	31.6
2017-03-31 18:00	1747.4	99.2	12.2	144.4	78.6	34.6
2017-03-31 19:00	1657.8	94.4	11.6	134.4	65	39.2
2017-03-31 20:00	1652.4	96.6	7.8	120.4	67.6	29.2
2017-03-31 21:00	1660.6	102.4	3.8	130.6	64.8	28.4
2017-03-31 22:00	1823.4	98	3.8	122.8	64	33
2017-03-31 23:00	1728.8	97	4.4	107.4	59.6	42.4
2017-04-01 00:00	1435	96.6	13.2	101.4	53.6	50.8
2017-04-01 01:00	1491.4	89.4	27.6	100.2	48	45.2
2017-04-01 02:00	1002.2	65.2	56.8	60	42.8	28.8
2017-04-01 03:00	747	53.6	69.6	64	32.2	25.2
2017-04-01 04:00	660.6	45.4	79.2	55.6	26	19
2017-04-01 05:00	593.6	31.8	98.2	51.2	24.4	19.6
2017-04-01 06:00	553.6	25	112	50.8	28.2	20.8
2017-04-01 07:00	566	23.6	121.4	47.6	25	21.8
2017-04-01 08:00	737.6	28	133.2	64.4	33.8	25.6
2017-04-01 09:00	890.4	35.2	138.4	80.8	42.6	26.2
2017-04-01 10:00	883	39.8	138.6	72.6	43.4	23.2
2017-04-01 11:00	885.8	35	138	68	45.6	18.8
2017-04-01 12:00	895	42.2	124.8	75.4	47.2	19.2
2017-04-01 13:00	995.6	68.8	99	84.6	49.2	20.8
2017-04-01 14:00	1059.6	75.8	87.6	93.8	59.6	22.4
2017-04-01 15:00	1260.8	109.2	46	111.4	73	35
2017-04-01 16:00	1335.8	118.6	28.4	111.2	68.6	33.2
2017-04-01 17:00	1465.2	102.8	28	145.2	65.6	35.4
2017-04-01 18:00	1424.2	90	23	139.6	56.2	35.2
2017-04-01 19:00	1504.2	97	14	136.2	54.6	31.4
2017-04-01 20:00	1429.4	96	8.6	131	60.4	36
2017-04-01 21:00	1381	88	17.8	94.4	47	33.8
2017-04-01 22:00	1262.8	84.2	19.8	88.4	40.4	34.2
2017-04-01 23:00	1589.6	86.6	14.4	132.4	45.2	61.6
2017-04-02 00:00	1918.8	87.4	17.2	138.4	49.8	71.6
2017-04-02 01:00	2522	82.4	31.4	114.4	49	71.4
2017-04-02 02:00	3041	70	52.8	86.4	40.8	68.2
2017-04-02 03:00	3357.6	68.6	66	101.8	45.6	86.2
2017-04-02 04:00	3509	76.4	71.6	118	56.8	80.4
2017-04-02 05:00	2828.6	60.2	96.6	114.8	48.2	58.8
2017-04-02 06:00	1952.4	44.6	112.8	74.4	42.2	38.6
2017-04-02 07:00	1640.8	48.6	108.2	91.8	44.6	36
2017-04-02 08:00	1423.4	44.8	119	94	44.4	33.4
2017-04-02 09:00	1341.4	49.8	127.4	102.2	48	39.4
2017-04-02 10:00	1264.2	53.8	130.4	109.4	52.8	40.2
2017-04-02 11:00	1235	60.6	127.6	116	68	39.2
2017-04-02 12:00	1298.6	71.4	106.4	119.6	74.4	34.8
2017-04-02 13:00	1268.2	81.2	81.2	135.4	88.2	35.8
2017-04-02 14:00	1588	82.4	67	160	109.8	39
2017-04-02 15:00	1598.6	96.6	48.4	187.4	118.6	44.8
2017-04-02 16:00	2151.8	117.6	33.6	215	146.4	56.2
2017-04-02 17:00	2299.8	118.4	37.2	220.8	149	67.8
2017-04-02 18:00	2469.4	124.8	18.8	246.8	161	61.8
2017-04-02 19:00	2680.8	119.4	19.6	254.2	148.8	61.6
2017-04-02 20:00	2869.4	114.2	15.2	268.4	147	60.8
2017-04-02 21:00	3622.2	113.6	17.6	250.6	131	68.4
2017-04-02 22:00	4374.8	118.8	14	248.4	153.6	80.2
2017-04-02 23:00	4531.8	119.4	9.4	267	150	92
2017-04-03 00:00	4561.2	113.4	13.6	280.4	152.2	111.4
2017-04-03 01:00	4457	116.2	17.4	283.4	145	109
2017-04-03 02:00	5051.6	132.2	32.2	285.8	167.8	103
2017-04-03 03:00	4775.4	128.6	62.4	284	170.4	98.2
2017-04-03 04:00	3794	102.4	83.4	206.8	124.4	82.8
2017-04-03 05:00	2768.4	69.4	137	169.4	91.2	69.6
2017-04-03 06:00	1787.8	48.6	165.8	134.2	72	44.8
2017-04-03 07:00	1329.8	41	170	103.4	60	28.8
2017-04-03 08:00	1034.2	31.4	183.8	96	54	24.4
2017-04-03 09:00	951.4	28.2	193.2	113.2	66.2	25.8
2017-04-03 10:00	872.6	34.4	194.4	119	79	29.2
2017-04-03 11:00	956.6	36.6	192.6	133.4	73.2	28.6
2017-04-03 12:00	885	41	183.2	121.2	81	26.8
2017-04-03 13:00	1026.8	48	174.2	142.4	94.6	30
2017-04-03 14:00	1188.4	59	158.6	160.4	122.4	36.8
2017-04-03 15:00	1113.6	53.6	156	144.2	97	34.4
2017-04-03 16:00	1145	41.4	176.4	153	101.2	31.8
2017-04-03 17:00	1040.6	61.4	152.6	151.2	108.8	31
2017-04-03 18:00	1001.8	49.8	144.4	147.6	102.2	28.8
2017-04-03 19:00	866.6	40.6	153.4	123.6	82	27.2
2017-04-03 20:00	1057.4	52	129	132.2	88.6	28.2
2017-04-03 21:00	1168.2	67.4	100	147.8	95.2	32.2
2017-04-03 22:00	1359.2	90.2	74.6	171.4	110	32
2017-04-03 23:00	1264	110.4	50.2	188.8	116.6	32
2017-04-04 00:00	1543.4	108.6	42	195.2	119.2	39
2017-04-04 01:00	1288.2	77.2	71	172.8	106.2	40.2
2017-04-04 02:00	1123.2	73.2	77.8	167.4	107.6	41.2
2017-04-04 03:00	909.8	61.8	81.8	135.8	90.6	42
2017-04-04 04:00	872.8	53.6	79.4	143	92.8	38.6
2017-04-04 05:00	936.8	55.4	96	129	80.75	44.2
2017-04-04 06:00	1028.6	62	83.8	150.6	97.75	37.2
2017-04-04 07:00	1046.8	68	72.2	184.75	114.25	31.2
2017-04-04 08:00	1153.2	79	73.6	178.75	117	40.8
2017-04-04 09:00	1237.2	82.4	92	174.6	99.2	40.6
2017-04-04 10:00	1178.4	77.6	104	159.2	103.4	34.4
2017-04-04 11:00	1282.6	66	120.4	142	81.6	32.4
2017-04-04 12:00	909.6	49.4	132.4	106.6	63.4	24.2
2017-04-04 13:00	853.8	35.4	138.2	84	52.8	20.2
2017-04-04 14:00	663.2	30	135	77.2	46.6	18.8
2017-04-04 15:00	650.4	28.8	128.6	73.6	42	18.2
2017-04-04 16:00	580.4	31.4	117.4	64.8	39.2	18
2017-04-04 17:00	585.8	29.4	109.4	76	36.6	16.6
2017-04-04 18:00	500.8	25.6	95.2	66	34.2	15.6
2017-04-04 19:00	538.8	29	89.2	79.6	32.6	17.6
2017-04-04 20:00	495.8	23.2	93.4	59.4	31	15.6
2017-04-04 21:00	375	19	100.4	57.6	27.6	14
2017-04-04 22:00	352.4	19	102.8	37.4	23.6	12.6
2017-04-04 23:00	346.4	18.4	102.2	36.4	22	13.6
2017-04-05 00:00	422.4	32.6	87.6	49.2	19.8	13.8
2017-04-05 01:00	498.4	47.8	68.2	57.2	27	14.8
2017-04-05 02:00	576.2	55	65.6	53.8	28.2	15.4
2017-04-05 03:00	470.2	49.8	72.4	69.6	32	16.4
2017-04-05 04:00	485	50.25	69	50	30.75	16.5
2017-04-05 05:00	438.8	37.6	88	47.6	24.8	20.6
2017-04-05 06:00	378.2	22.2	104.8	38.4	20.2	18.4
2017-04-05 07:00	327	12.6	118.4	26.8	14	17.2
2017-04-05 08:00	324.2	13.2	122	22.4	10.8	14.6
2017-04-05 09:00	305.8	12.6	122.2	20.2	11.2	12.2
2017-04-05 10:00	332.2	14.4	118.2	24.8	12	13.2
2017-04-05 11:00	395.4	21	108.4	31.6	16.6	12.8
2017-04-05 12:00	458.4	31.2	92.8	41.2	23.8	12.6
2017-04-05 13:00	492.2	42.2	76.2	64	34	13.8
2017-04-05 14:00	542.4	42	73.4	61.2	36	18
2017-04-05 15:00	468.4	26	85	53.6	33.4	14
2017-04-05 16:00	469	18.6	90.4	44.2	30.2	12.6
2017-04-05 17:00	534.8	15.8	94.4	36	24.6	11
2017-04-05 18:00	410.2	12.2	93.4	29.8	21.6	10.2
2017-04-05 19:00	489	14.8	87.6	35	21.6	9.6
2017-04-05 20:00	464.6	22.2	65.4	52.6	29.8	10.4
2017-04-05 21:00	1139	37.6	40	115.2	59.8	12
2017-04-05 22:00	2281.2	48.8	21	160.6	87.2	14.6
2017-04-05 23:00	2733.8	58.2	13.6	167.4	106.6	16.2
2017-04-06 00:00	3379.6	64	13.6	167	110	19.6
2017-04-06 01:00	3281	61	26.6	161.6	106.8	22.8
2017-04-06 02:00	2891.4	56.2	46	157	99.8	28.6
2017-04-06 03:00	2509.4	51.2	59.2	156.75	88.75	31
2017-04-06 04:00	2309.6	50.2	68.4	155.8	99.4	31.6
2017-04-06 05:00	2216	51.4	75	170.8	101.2	31.4
2017-04-06 06:00	2099.25	50.4	84.4	142.2	91.8	31.4
2017-04-06 07:00	2115	50.8	86.4	171.8	113	28.2
2017-04-06 08:00	1490.2	49.8	70.2	136.8	88.4	25
2017-04-06 09:00	1288.6	51.2	77.2	134.6	98.2	20.6
2017-04-06 10:00	1269	54.4	95	144.2	97.4	23.4
2017-04-06 11:00	1158.6	41.6	109.6	128.4	75	20.8
2017-04-06 12:00	1107.2	49.8	84.4	122.2	59.6	17.8
2017-04-06 13:00	1034.6	64.8	55	107.8	60	16.4
2017-04-06 14:00	918.6	53.4	56.6	96.8	56.4	15.6
2017-04-06 15:00	739.2	56	50.6	91.4	47	12.8
2017-04-06 16:00	697.6	53.8	45	91.2	44.4	12.2
2017-04-06 17:00	781	63	32.2	96.4	41.2	13
2017-04-06 18:00	864.8	79.6	14	94.6	43	13.6
2017-04-06 19:00	868.2	81.8	11.2	114	45.2	14
2017-04-06 20:00	896.2	81.2	10.4	122.6	48.6	15
2017-04-06 21:00	1042.2	76	13.8	120.2	42.8	16.4
2017-04-06 22:00	865.6	52.4	31.2	100.8	44.8	14.4
2017-04-06 23:00	868	52.2	28.6	101.8	48	15.2
2017-04-07 00:00	976	72	13.6	133	57.2	18.6
2017-04-07 01:00	820.6	63	23.2	101.8	53.4	21
2017-04-07 02:00	729.2	51.4	43.4	85.8	48.4	28.8
2017-04-07 03:00	660.4	55.5	56.4	85.4	45	30
2017-04-07 04:00	641.2	47.2	60	67.2	37.6	37.5
2017-04-07 05:00	587.6	37	79.2	54.4	32.2	41
2017-04-07 06:00	517.6	30	91.8	58.4	31.4	30.2
2017-04-07 07:00	500.4	28	101	63.8	36.4	28.2
2017-04-07 08:00	491	24.2	113.6	65	38.8	16.2
2017-04-07 09:00	504.8	26.4	115	71.8	43.2	15.2
2017-04-07 10:00	555.2	30.6	106.8	87.4	48.4	14
2017-04-07 11:00	605.2	30.8	102.8	87	50.2	12.8
2017-04-07 12:00	677.2	32	99.8	95.8	53	10
2017-04-07 13:00	832.6	37.2	93.2	118.2	63.2	9.6
2017-04-07 14:00	956	52	66.8	140	81.4	11.4
2017-04-07 15:00	1373.6	77.4	30.6	157.2	96	15.4
2017-04-07 16:00	1853.8	95.8	11.2	177.6	98.8	19.2
2017-04-07 17:00	2191.2	94.6	8.2	185.8	114	23.4
2017-04-07 18:00	2402.2	86.6	11.8	182.6	110.6	27.8
2017-04-07 19:00	2603	92	6.2	176.2	97	32
2017-04-07 20:00	2714.4	90	8.4	179.6	111.4	34
2017-04-07 21:00	2306.6	94.6	5.6	184.6	108.4	31.2
2017-04-07 22:00	1267.8	76.8	15	142.6	84	20.8
2017-04-07 23:00	987.4	65.8	21	128.2	69.4	17.4
2017-04-08 00:00	567.4	42.2	47	86.2	43.8	15.6
2017-04-08 01:00	363.4	17.8	81.6	132	26.6	8.2
2017-04-08 02:00	317.4	16.8	85.6	106	20	6.2
2017-04-08 03:00	383.25	14.8	87.4	67.8	12.8	5.4
2017-04-08 04:00	303.8	14.2	88.2	45.2	10.4	5.2
2017-04-08 05:00	330.8	12.6	91.6	41.8	8.4	5
2017-04-08 06:00	333.4	12.4	94	34	8	4.4
2017-04-08 07:00	333	14.8	94.4	31.2	9	5
2017-04-08 08:00	359.4	21	88.4	46	8.8	10.8
2017-04-08 09:00	366.6	19.4	91.6	39.2	9.6	8.8
2017-04-08 10:00	373	21.4	91.6	47	11.4	8.8
2017-04-08 11:00	414.8	30.4	78.6	49.6	16.4	13.6
2017-04-08 12:00	445	40.8	67.2	50.4	16.4	9.8
2017-04-08 13:00	690.6	64.8	43	68.2	18.8	13.2
2017-04-08 14:00	982.8	89.6	18	90.6	22.4	19.4
2017-04-08 15:00	1114.2	95.4	11	110.6	33.6	24
2017-04-08 16:00	1091.4	96.2	5.4	98	40	20.4
2017-04-08 17:00	1243	88.6	6	103.2	37.6	27.6
2017-04-08 18:00	1317.4	79.8	7.6	110.2	35.6	32.6
2017-04-08 19:00	1498	75.2	10.8	117.4	40	31
2017-04-08 20:00	1427.2	74.8	7.8	117.8	40.2	25.8
2017-04-08 21:00	1384.2	71.8	7.8	124	38.2	31.2
2017-04-08 22:00	1221.6	77.8	4.6	105	38.4	47
2017-04-08 23:00	1031.8	73.6	8.2	85.8	33.4	27.2
2017-04-09 00:00	1206.8	68.8	16.4	88	32.8	25.2
2017-04-09 01:00	820.6	57	34.6	70.8	24.6	18
2017-04-09 02:00	483	18	77.2	49.4	14.8	7.8
2017-04-09 03:00	407	12.4	87	38.6	10.2	5.6
2017-04-09 04:00	365.8	10.6	91.2	22.4	7.6	5.6
2017-04-09 05:00	368.4	15.8	87.4	36.6	9.4	9.2
2017-04-09 06:00	373.2	17.2	90.4	43.2	10	9.6
2017-04-09 07:00	358.6	14.6	93.2	26.6	7.2	6.6
2017-04-09 08:00	363.4	16.2	94	22.8	7.6	15.2
2017-04-09 09:00	374	19.4	92.4	18.4	8.4	27
2017-04-09 10:00	395.8	22.8	91.6	23.4	7.8	24.2
2017-04-09 11:00	449.2	29.8	86.4	27.2	10.2	30.8
2017-04-09 12:00	524.6	39	77.4	33.6	11.4	36
2017-04-09 13:00	538.8	29.4	83.8	37	15	17.6
2017-04-09 14:00	561.8	29.4	80.4	35.4	14.6	9.8
2017-04-09 15:00	636	39	70.6	35.6	14.8	12.8
2017-04-09 16:00	551.8	44	61.8	33.2	15.2	12.4
2017-04-09 17:00	694.6	60.2	35.6	41	18	16.8
2017-04-09 18:00	805.2	76.6	13.8	54.2	24	24
2017-04-09 19:00	927	89	4.8	65	27.6	25.6
2017-04-09 20:00	1013.8	87.6	3.6	77.2	30.6	27.6
2017-04-09 21:00	1546.6	85.6	3	93	34	36
2017-04-09 22:00	1870.8	83.6	3	95.6	41	38.8
2017-04-09 23:00	1817.4	85.2	3	108.2	40.6	44.4
2017-04-10 00:00	2058	84.4	5	137.4	47.8	44.2
2017-04-10 01:00	2429.8	86.2	10.4	148	54.6	69.2
2017-04-10 02:00	2915.2	85.6	23	136.25	62.75	55.4
2017-04-10 03:00	2522.2	80	44.2	145	66.8	56
2017-04-10 04:00	2481.8	74.4	60.8	134.6	58.6	44.4
2017-04-10 05:00	2879.8	84.6	55.8	135.4	72.6	57.8
2017-04-10 06:00	2284	71.4	63.6	116.6	63.2	41.8
2017-04-10 07:00						
2017-04-10 08:00						
2017-04-10 09:00						
2017-04-10 10:00						
2017-04-10 11:00						
2017-04-10 12:00						
2017-04-10 13:00						
2017-04-10 14:00						
2017-04-10 15:00						
2017-04-10 16:00						
2017-04-10 17:00						
2017-04-10 18:00						
2017-04-10 19:00						
2017-04-10 20:00						
2017-04-10 21:00						
2017-04-10 22:00						
2017-04-10 23:00						
2017-04-11 00:00						
2017-04-11 01:00						
2017-04-11 02:00						
2017-04-11 03:00						
2017-04-11 04:00						
2017-04-11 05:00						
2017-04-11 06:00						
2017-04-11 07:00	378.2	13	97	34.8	7	7.2
2017-04-11 08:00	381.8	10.2	105.4	37.4	9.8	6
2017-04-11 09:00	377.2	11.2	103.6	51	10.4	5.8
2017-04-11 10:00	386.6	16	100.2	35	10.4	12.4
2017-04-11 11:00	441	18	97.8	38.8	12	6
2017-04-11 12:00	483.4	20	97.6	51.6	16.6	7.6
2017-04-11 13:00	522.6	23.4	92	49	15.6	7.8
2017-04-11 14:00	653.8	43	69.2	48.8	16.4	10
2017-04-11 15:00	692.8	50	59	51	18.6	10
2017-04-11 16:00	661.8	54.6	52.2	59.2	18.2	12.4
2017-04-11 17:00	654.8	63.6	43.4	55.6	22.2	23.2
2017-04-11 18:00	571	50.8	52	54.8	19.4	22.2
2017-04-11 19:00	603.4	51.2	54	53.8	19	18.6
2017-04-11 20:00	576.4	56.6	47.4	52.8	15.6	17.2
2017-04-11 21:00	608.2	63.2	39.4	55.4	19.2	17.2
2017-04-11 22:00	535.2	48.2	53.4	53.8	18.6	16.8
2017-04-11 23:00	891	61.6	38	59.2	22.4	22.2
2017-04-12 00:00	1676.4	74.8	26.8	79	32	41.6
2017-04-12 01:00	2079.6	77.8	28.8	114	35	47.2
2017-04-12 02:00	1963.6	61	43.6	109.4	35.8	45
2017-04-12 03:00	839.2	30.4	71.8	92.75	30.5	23.4
2017-04-12 04:00	638.6	23	83	111.5	23	19
2017-04-12 05:00	750.6	25.6	86.4	195.4	30.8	21
2017-04-12 06:00	1092.2	26.8	87.8	175.2	32	23.4
2017-04-12 07:00	1021.2	22.8	92	112	30.2	17.4
2017-04-12 08:00	706.2	18.2	108.2	73.4	26.4	11.4
2017-04-12 09:00	562.2	16.2	120.4	62.2	26	8.4
2017-04-12 10:00	501.2	16.2	121.2	60.5	21.5	8.4
2017-04-12 11:00	423.4	17.2	119.6	64	18.25	10.4
2017-04-12 12:00	493.6	29.6	105.2	62.5	20.75	9.2
2017-04-12 13:00	505.6	42	88.8	61.2	21.2	8.8
2017-04-12 14:00	534.2	56.4	70.8	58.8	21.8	10.6
2017-04-12 15:00	599	75.2	49	59.4	23.4	11.8
2017-04-12 16:00	780.6	78.6	37.8	80.6	26.6	24.4
2017-04-12 17:00	769.8	77.4	32.4	93.4	28	23
2017-04-12 18:00	773.2	70	32	92.6	28.4	21.4
2017-04-12 19:00	1161.4	78	27.4	92.8	27	21.2
2017-04-12 20:00	1153.2	67.6	37	90.2	27.2	20.6
2017-04-12 21:00	914.2	64	38.2	78.6	23.4	23.2
2017-04-12 22:00	879.2	69	30.8	86.2	26.6	29.2
2017-04-12 23:00	1021	80.4	20.4	105.8	31	34.8
2017-04-13 00:00	1203	84.6	18.4	120.4	32.8	41.4
2017-04-13 01:00	1095.8	84.2	26	109.8	34.4	28.4
2017-04-13 02:00	879.4	70.4	48.8	86.4	29.2	20.8
2017-04-13 03:00	593.4	38.2	79.6	49.333333333333336	19.666666666666668	25.6
2017-04-13 04:00	533.4	31.4	87.6	53	19.8	17.6
2017-04-13 10:00	996.2	45.4	119.4	156	81.8	24.6
2017-04-13 11:00	1109.4	60.2	86.4	209	108.6	21.6
2017-04-13 12:00	1192.8	59.8	95.6	195.6	125.6	18
2017-04-13 13:00	1065.2	40.2	122.6	162.8	93.4	17.8
2017-04-13 14:00	778.8	20.4	122.2	65	28.6	14.4
2017-04-13 15:00	757.6	20.6	116.2	49	23	12.8
2017-04-13 16:00	738.2	21.8	107.2	45.8	24.8	12
2017-04-13 17:00	741.4	24.8	94.6	43.8	25.2	11.2
2017-04-13 18:00	755.4	33.4	72	50	24.2	11.8
2017-04-13 19:00	822.2	48.8	54.6	70	32.8	15.6
2017-04-13 20:00	964.2	48.8	46.4	74.8	37.8	17
2017-04-13 21:00	1190.6	57.4	32.6	91.6	48	18.4
2017-04-13 22:00	1407.2	76.4	11.6	114.2	53.6	21.8
2017-04-13 23:00	1984	79.6	7.2	142.8	82.6	27.2
2017-04-14 00:00	3618.8	79.4	9.4	171.2	108	36.4
2017-04-14 01:00	4561	84.2	15.6	190.4	125.2	49.2
2017-04-14 02:00	4532.8	84.8	31	202.8	126.8	63.2
2017-04-14 03:00	3890	82.2	53.6	194.4	108.2	61.8
2017-04-14 04:00	3537.6	72.6	83.8	179.4	106	54.8
2017-04-14 05:00	3722.4	61.5	101.6	190	101	45.4
2017-04-14 06:00	2948.4	58.6	121.6	156.4	75.6	42.75
2017-04-15 06:00	1833.2	45	104.4	75	27	23.4
